RowId , Time  , TimeInterval  , F00A:2659  , F00A:132  , F00A:5257  , Difference  , Label 
12172,1543528129.785122,0.05104398727416992,130.55,331.35,-1.0,0.12292249898010398,-1.0
12173,1543528129.835124,0.050002098083496094,128.5,332.8,-1.0,2.5114739288604713,-1.0
12174,1543528129.885117,0.049993038177490234,126.25,333.7,-1.0,2.423839785123649,-1.0
12175,1543528129.935066,0.049948930740356445,126.25,332.45,-1.0,1.250997560999849,-1.0
12176,1543528129.98607,0.05100393295288086,124.1,334.35,-1.0,2.8696868320788047,-1.0
12177,1543528130.031828,0.04575800895690918,121.85,332.55,-1.0,2.8817739875122603,-1.0
12178,1543528130.08287,0.05104207992553711,119.85,329.45,-1.0,3.6895302160748416,-1.0
12179,1543528130.132819,0.049948930740356445,115.45,326.4,-1.0,5.353970124184224,-1.0
12180,1543528130.182871,0.05005216598510742,111.3,324.8,-1.0,4.448033861154528,-1.0
12181,1543528130.23281,0.04993891716003418,100.7,325.15,-1.0,10.60589430025928,-1.0
12182,1543528130.282865,0.05005502700805664,85.5,330.3,-1.0,16.048831905132868,-1.0
12183,1543528130.332821,0.04995584487915039,64.05,335.7,-1.0,22.11933533351024,-1.0
12184,1543528130.38287,0.0500490665435791,54.95,334.6,-1.0,9.166379051607674,-1.0
12185,1543528130.43281,0.04994010925292969,50.55,324.95,-1.0,10.605894305827519,-1.0
12186,1543528130.482861,0.050050973892211914,45.9,326.85,-1.0,5.023445541884439,-1.0
12187,1543528130.532005,0.04914402961730957,38.6,319.1,-1.0,10.64682656748925,-1.0
12188,1543528130.582873,0.05086803436279297,38.7,309.6,-1.0,9.500662636317127,-1.0
12189,1543528130.631986,0.049112796783447266,31.3,307.25,-1.0,7.764336104759183,-1.0
12190,1543528130.682862,0.05087614059448242,31.3,296.6,-1.0,10.650121665552122,-1.0
12191,1543528130.73211,0.04924798011779785,31.4,286.0,-1.0,10.60058621088724,-1.0
12192,1543528130.782862,0.05075192451477051,31.4,280.15,-1.0,5.850220339413805,-1.0
12193,1543528130.833797,0.05093502998352051,31.4,258.55,-1.0,21.600060055722196,-1.0
12194,1543528130.882936,0.04913902282714844,31.4,251.0,-1.0,7.550160122090543,-1.0
12195,1543528130.93292,0.049983978271484375,31.5,220.5,-1.0,30.50020490278768,-1.0
12196,1543528130.982951,0.05003094673156738,31.5,176.65,-1.0,43.850028541585196,-1.0
12197,1543528131.031118,0.04816699028015137,30.4,172.85,-1.0,3.9563017495239654,-1.0
12198,1543528131.081983,0.05086517333984375,27.9,176.55,-1.0,4.465713218070641,-1.0
12199,1543528131.131213,0.04922986030578613,24.35,182.6,-1.0,7.014800514155354,-1.0
12200,1543528131.181355,0.05014204978942871,26.15,180.25,-1.0,2.9605768115768765,-1.0
12201,1543528131.231425,0.05007004737854004,20.95,185.0,-1.0,7.043082209858751,-1.0
12202,1543528131.282977,0.05155205726623535,16.35,189.25,-1.0,6.2629992664027725,-1.0
12203,1543528131.330983,0.04800581932067871,10.35,192.4,-1.0,6.776785162191013,-1.0
12204,1543528131.381048,0.050065040588378906,0.0,199.95,-1.0,12.811225965873877,-1.0
12205,1543528131.430982,0.04993414878845215,0.0,198.95,-1.0,1.0012459419882263,-1.0
12206,1543528131.481043,0.05006098747253418,0.0,198.9,-1.0,0.07075392960659711,-1.0
12207,1543528131.530994,0.04995083808898926,0.0,198.0,-1.0,0.9013850999204998,-1.0
12208,1543528131.581056,0.05006217956542969,0.0,197.7,-1.0,0.30414837533640143,-1.0
12209,1543528131.631028,0.049971818923950195,0.0,197.35,-1.0,0.3535494178352011,-1.0
12210,1543528131.682398,0.05137014389038086,0.0,197.15,-1.0,0.20649660286800273,-1.0
12211,1543528131.730991,0.04859280586242676,0.0,195.3,-1.0,1.850640152592633,-1.0
12212,1543528131.831985,0.10099411010742188,0.0,194.9,-1.0,0.415867415125267,-1.0
12213,1543528131.881979,0.04999399185180664,0.0,196.25,-1.0,1.3518877214041667,-1.0
12214,1543528131.931025,0.04904603958129883,0.0,195.75,-1.0,0.5024006494941239,-1.0
12215,1543528131.981982,0.05095696449279785,0.0,196.2,-1.0,0.45287996628723537,-1.0
12216,1543528132.031047,0.04906511306762695,0.0,195.8,-1.0,0.4030024372409375,-1.0
12217,1543528132.081059,0.05001187324523926,0.0,195.0,-1.0,0.8015622769444368,-1.0
12218,1543528132.132007,0.05094790458679199,0.0,194.1,-1.0,0.9014413819747058,-1.0
12219,1543528132.182995,0.050988197326660156,0.0,193.75,-1.0,0.35369449796416585,-1.0
12220,1543528132.231041,0.04804587364196777,0.0,193.5,-1.0,0.2545919543950386,-1.0
12221,1543528132.28199,0.0509490966796875,0.0,193.75,-1.0,0.2551553235903239,-1.0
12222,1543528132.331989,0.04999899864196777,0.0,193.65,-1.0,0.1118069879367101,-1.0
12223,1543528132.381056,0.049067020416259766,0.0,193.55,-1.0,0.11139318235844468,-1.0
12224,1543528132.43099,0.04993391036987305,0.0,192.85,-1.0,0.7017792722096045,-1.0
12225,1543528132.48199,0.051000118255615234,0.0,192.05,-1.0,0.8016246932706821,-1.0
12226,1543528132.53106,0.049069881439208984,0.0,192.2,-1.0,0.15783402383079073,-1.0
12227,1543528132.581051,0.04999113082885742,0.0,192.65,-1.0,0.4527692147904948,-1.0
12228,1543528132.630988,0.049936771392822266,0.0,192.05,-1.0,0.6020744838407291,-1.0
12229,1543528132.681045,0.050057172775268555,0.0,192.4,-1.0,0.3535615010754734,-1.0
12230,1543528132.73099,0.04994487762451172,0.0,192.6,-1.0,0.20614194966363297,-1.0
12231,1543528132.781995,0.05100512504577637,0.0,192.5,-1.0,0.11226151123839571,-1.0
12232,1543528132.831978,0.04998302459716797,0.0,191.4,-1.0,1.1011354809637166,-1.0
12233,1543528132.88104,0.04906201362609863,0.0,191.6,-1.0,0.20593185630749744,-1.0
12234,1543528132.930984,0.04994392395019531,0.0,191.85,-1.0,0.25494150957692757,-1.0
12235,1543528132.981984,0.05099987983703613,0.0,192.15,-1.0,0.30430593616660506,-1.0
12236,1543528133.031009,0.04902505874633789,0.0,191.5,-1.0,0.6518491821759306,-1.0
12237,1543528133.081061,0.05005192756652832,0.0,191.75,-1.0,0.25496323247225056,-1.0
12238,1543528133.181066,0.1000051498413086,0.0,191.6,-1.0,0.18707312583697824,-1.0
12239,1543528133.232001,0.05093502998352051,0.0,191.15,-1.0,0.45552415297354937,-1.0
12240,1543528133.283059,0.05105781555175781,0.0,190.5,-1.0,0.6520022358897403,-1.0
