RowId , Time  , TimeInterval  , FEBF:904  , FEBF:905  , FEBF:906  , FEBF:907  , FEBF:908  , FEBF:909  , FEBF:910  , Difference  , Label 
3091,1543528053.873972,0.10020184516906738,6.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.509941575137602,-1.0
3092,1543528053.974153,0.10018110275268555,7.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.1294517492035647,-1.0
3093,1543528054.070098,0.09594488143920898,7.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5091398293645869,-1.0
3094,1543528054.170297,0.10019898414611816,8.625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.756675580294326,-1.0
3095,1543528054.270494,0.10019707679748535,9.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6329806112373421,-1.0
3096,1543528054.370696,0.10020208358764648,9.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5099416217376002,-1.0
3097,1543528054.47091,0.10021400451660156,10.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3881595636376386,-1.0
3098,1543528054.571119,0.10020899772644043,10.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.26933593011405976,-1.0
3099,1543528054.671329,0.10020995140075684,10.625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.26933628489427774,-1.0
3100,1543528054.771535,0.10020589828491211,10.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2693347769366479,-1.0
3101,1543528054.871749,0.10021400451660156,11.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2693377930535639,-1.0
3102,1543528054.971958,0.10020899772644043,11.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.26933593011405976,-1.0
3103,1543528055.070102,0.0981440544128418,11.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.15893872846943008,-1.0
3104,1543528055.170288,0.10018610954284668,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5099425718004776,-1.0
3105,1543528055.270478,0.1001899242401123,12.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16019681936228122,-1.0
3106,1543528055.371083,0.10060501098632812,12.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6330454490260286,-1.0
3107,1543528055.471076,0.09999299049377441,11.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8806951644678035,-1.0
3108,1543528055.571155,0.10007905960083008,12.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.26928762611467627,-1.0
3109,1543528055.671362,0.10020685195922852,12.4375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3281732461832707,-1.0
3110,1543528055.771567,0.1002051830291748,12.6875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2693345108015231,-1.0
3111,1543528055.872134,0.10056686401367188,13.0625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3882509819056211,-1.0
3112,1543528055.972136,0.10000205039978027,13.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11792785548197945,-1.0
3113,1543528056.071719,0.09958291053771973,13.5625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4486905188984803,-1.0
3114,1543528056.171939,0.1002199649810791,13.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11811306963741365,-1.0
3115,1543528056.272556,0.1006171703338623,13.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2694883536223518,-1.0
3116,1543528056.372546,0.0999898910522461,12.6875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5713183191461106,-1.0
