RowId , Time  , TimeInterval  , F004:899  , F004:4154  , F004:512  , F004:513  , F004:190  , F004:1483  , F004:1675  , F004:2432  , Difference  , Label 
10413,1525893986.546467,0.019878149032592773,4.0,0.0,0.0,0.0,604.25,-1.0,0.0,-1.0,3.010464283747243,-1.0
10414,1525893986.566519,0.020051956176757812,2.0,0.0,0.0,0.0,603.25,-1.0,0.0,-1.0,2.2361578904798827,-1.0
10415,1525893986.586423,0.019903898239135742,6.0,0.0,0.0,0.0,598.5,-1.0,0.0,-1.0,6.209903073888213,-1.0
10416,1525893986.606441,0.02001810073852539,0.0,0.0,0.0,0.0,598.375,-1.0,0.0,-1.0,6.0013353295245375,-1.0
10417,1525893986.626573,0.020132064819335938,6.0,0.0,0.0,0.0,599.75,-1.0,0.0,-1.0,6.155569048676305,-1.0
10418,1525893986.646481,0.01990795135498047,6.0,0.0,0.0,0.0,599.5,-1.0,0.0,-1.0,0.25079150056171595,-1.0
10419,1525893986.66653,0.020048856735229492,7.0,0.0,0.0,0.0,598.75,-1.0,0.0,-1.0,1.250160780264169,-1.0
10420,1525893986.686477,0.019947052001953125,7.0,0.0,0.0,0.0,598.875,-1.0,0.0,-1.0,0.12658157546725488,-1.0
10421,1525893986.706511,0.020034074783325195,7.0,0.0,0.0,0.0,600.75,-1.0,0.0,-1.0,1.8751070294053587,-1.0
10422,1525893986.726606,0.020094871520996094,5.0,0.0,0.0,0.0,602.375,-1.0,0.0,-1.0,2.5770193649947,-1.0
10423,1525893986.746483,0.019877195358276367,4.0,0.0,0.0,0.0,604.0,-1.0,0.0,-1.0,1.9081457361213852,-1.0
10424,1525893986.766487,0.020003795623779297,3.0,0.0,0.0,0.0,603.75,-1.0,0.0,-1.0,1.0309704980584968,-1.0
10425,1525893986.786437,0.019950151443481445,5.0,0.0,0.0,0.0,600.125,-1.0,0.0,-1.0,4.140171857715609,-1.0
10426,1525893986.806448,0.020010948181152344,6.0,0.0,0.0,0.0,600.5,-1.0,0.0,-1.0,1.0681879243575787,-1.0
10427,1525893986.826601,0.020153045654296875,5.0,0.0,0.0,0.0,600.5,-1.0,0.0,-1.0,1.0002030621033091,-1.0
10428,1525893986.846455,0.019854068756103516,6.0,0.0,0.0,0.0,599.25,-1.0,0.0,-1.0,1.6009042049521132,-1.0
10429,1525893986.866487,0.02003192901611328,6.0,0.0,0.0,0.0,600.0,-1.0,0.0,-1.0,0.7502674921748768,-1.0
10430,1525893986.886487,0.019999980926513672,6.0,0.0,0.0,0.0,600.25,-1.0,0.0,-1.0,0.2507987245935301,-1.0
10431,1525893986.906513,0.020025968551635742,6.0,0.0,0.0,0.0,600.125,-1.0,0.0,-1.0,0.12659399706063382,-1.0
10432,1525893986.926552,0.020039081573486328,6.0,0.0,0.0,0.0,601.5,-1.0,0.0,-1.0,1.3751460158696822,-1.0
10433,1525893986.946437,0.019884824752807617,4.0,0.0,0.0,0.0,604.375,-1.0,0.0,-1.0,3.502287885090347,-1.0
10434,1525893986.966535,0.020098209381103516,2.0,0.0,0.0,0.0,603.875,-1.0,0.0,-1.0,2.061650790884171,-1.0
10435,1525893986.986427,0.019891977310180664,5.0,0.0,0.0,0.0,599.25,-1.0,0.0,-1.0,5.512805160106148,-1.0
10436,1525893987.006435,0.020007848739624023,7.0,0.0,0.0,0.0,599.0,-1.0,0.0,-1.0,2.0156637436431146,-1.0
10437,1525893987.026536,0.020101070404052734,6.0,0.0,0.0,0.0,600.75,-1.0,0.0,-1.0,2.0156646699591843,-1.0
10438,1525893987.046446,0.019910097122192383,5.0,0.0,0.0,0.0,600.5,-1.0,0.0,-1.0,1.0309686942086116,-1.0
10439,1525893987.066522,0.02007579803466797,6.0,0.0,0.0,0.0,599.5,-1.0,0.0,-1.0,1.4143560602350178,-1.0
10440,1525893987.086516,0.019994020462036133,7.0,0.0,0.0,0.0,598.875,-1.0,0.0,-1.0,1.1794171304257912,-1.0
10441,1525893987.10643,0.01991415023803711,6.0,0.0,0.0,0.0,600.875,-1.0,0.0,-1.0,2.2361566536714186,-1.0
10442,1525893987.12655,0.020119905471801758,5.0,0.0,0.0,0.0,602.5,-1.0,0.0,-1.0,1.9081482785494974,-1.0
10443,1525893987.146443,0.01989293098449707,4.0,0.0,0.0,0.0,604.5,-1.0,0.0,-1.0,2.2361564748962834,-1.0
10444,1525893987.166522,0.02007913589477539,3.0,0.0,0.0,0.0,603.25,-1.0,0.0,-1.0,1.6009069949158663,-1.0
10445,1525893987.186423,0.019901037216186523,5.0,0.0,0.0,0.0,599.125,-1.0,0.0,-1.0,4.58432340514949,-1.0
10446,1525893987.206417,0.019994020462036133,7.0,0.0,0.0,0.0,600.375,-1.0,0.0,-1.0,2.3585800324559947,-1.0
10447,1525893987.226577,0.02015995979309082,5.0,0.0,0.0,0.0,600.75,-1.0,0.0,-1.0,2.0349524445339555,-1.0
10448,1525893987.246449,0.019871950149536133,6.0,0.0,0.0,0.0,599.0,-1.0,0.0,-1.0,2.0156624165153003,-1.0
10449,1525893987.266498,0.020049095153808594,6.0,0.0,0.0,0.0,599.875,-1.0,0.0,-1.0,0.8752296827672374,-1.0
10450,1525893987.286426,0.019927978515625,6.0,0.0,0.0,0.0,599.625,-1.0,0.0,-1.0,0.2507930202317426,-1.0
10451,1525893987.306443,0.020016908645629883,6.0,0.0,0.0,0.0,600.875,-1.0,0.0,-1.0,1.250160263542357,-1.0
10452,1525893987.326649,0.020205974578857422,5.0,0.0,0.0,0.0,601.75,-1.0,0.0,-1.0,1.3289218626972048,-1.0
10453,1525893987.346455,0.0198061466217041,4.0,0.0,0.0,0.0,604.625,-1.0,0.0,-1.0,3.044013377649053,-1.0
10454,1525893987.366571,0.02011585235595703,2.0,0.0,0.0,0.0,603.875,-1.0,0.0,-1.0,2.1360956774998745,-1.0
10455,1525893987.386424,0.01985311508178711,5.0,0.0,0.0,0.0,599.125,-1.0,0.0,-1.0,5.6180863481446535,-1.0
10456,1525893987.406467,0.020042896270751953,7.0,0.0,0.0,0.0,599.0,-1.0,0.0,-1.0,2.004002683059037,-1.0
10457,1525893987.426588,0.020121097564697266,6.0,0.0,0.0,0.0,600.25,-1.0,0.0,-1.0,1.6009075128447148,-1.0
10458,1525893987.446468,0.019880056381225586,5.0,0.0,0.0,0.0,600.125,-1.0,0.0,-1.0,1.0079783106508655,-1.0
