RowId , Time  , TimeInterval  , FDA3:3470  , FDA3:641  , FDA3:3675  , FDA3:5369  , FDA3:5366  , FDA3:5367  , FDA3:5368  , Difference  , Label 
2927,1543528183.748987,0.10000205039978027,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.1000020509252869,-1.0
2928,1543528183.848984,0.09999704360961914,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09999704373496258,-1.0
2929,1543528183.949031,0.10004711151123047,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10004712403930138,-1.0
2930,1543528184.149015,0.19998383522033691,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.22356404696449997,-1.0
2931,1543528184.449004,0.2999889850616455,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.31621894496234526,-1.0
2932,1543528184.549005,0.10000109672546387,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.22359645531058991,-1.0
2933,1543528184.948987,0.3999819755554199,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.49997410776240137,-1.0
2934,1543528185.150006,0.2010190486907959,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.28283370414978887,-1.0
2935,1543528185.448992,0.29898595809936523,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.31462695129257795,-1.0
2936,1543528185.64999,0.20099806785583496,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.2236109342499981,-1.0
2937,1543528185.94999,0.2999999523162842,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.3159135079677552,-1.0
2938,1543528186.241992,0.29200196266174316,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.2921114753597061,-1.0
2939,1543528186.541027,0.29903507232666016,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.299117767966013,-1.0
2940,1543528186.840989,0.29996204376220703,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.2999634760667414,-1.0
2941,1543528192.141013,5.300023794174194,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,7.286348174960184,-1.0
2942,1543528192.242019,0.10100603103637695,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,5.199998838435281,-1.0
2943,1543528192.341028,0.09900903701782227,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09902917447048946,-1.0
2944,1543528194.141064,1.8000359535217285,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,2.4766150295598357,-1.0
2945,1543528194.241051,0.09998703002929688,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,1.7029867141119615,-1.0
2946,1543528194.341011,0.0999600887298584,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09996009236047544,-1.0
2947,1543528194.441051,0.10003995895385742,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10003999083737543,-1.0
2948,1543528194.541001,0.09995007514953613,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09995011556519683,-1.0
2949,1543528194.642011,0.10100984573364258,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10101540500747996,-1.0
2950,1543528194.741,0.09898900985717773,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09900963513791998,-1.0
2951,1543528194.841036,0.1000361442565918,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.100041624577853,-1.0
2952,1543528194.940996,0.0999598503112793,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09995987942679531,-1.0
2953,1543528195.139997,0.19900107383728027,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.22228493279104178,-1.0
2954,1543528195.239992,0.09999489784240723,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.14071674555517988,-1.0
2955,1543528195.339989,0.09999704360961914,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.0999970436326414,-1.0
2956,1543528195.43999,0.10000109672546387,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.1000010968076017,-1.0
2957,1543528195.539996,0.1000058650970459,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10000586521072607,-1.0
2958,1543528195.640983,0.10098719596862793,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10099196383814694,-1.0
2959,1543528195.740983,0.09999990463256836,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.10000477823936726,-1.0
2960,1543528196.341008,0.600024938583374,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.7810601522926939,-1.0
2961,1543528196.441045,0.1000370979309082,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.5098973051142295,-1.0
2962,1543528196.541003,0.09995794296264648,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09995797430336756,-1.0
2963,1543528196.641001,0.09999799728393555,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.09999800530583915,-1.0
2964,1543528196.840994,0.19999289512634277,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.22359816120784579,-1.0
2965,1543528196.940991,0.09999704360961914,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,7.0,0.14141633233547923,-1.0
