RowId , Time  , TimeInterval  , FE6E:1592  , FE6E:1593  , FE6E:1594  , FE6E:1595  , Difference  , Label 
20087,1543528162.243764,0.020013809204101562,35.0,35.0,36.0,35.875,0.2802241161733326,-1.0
20088,1543528162.264026,0.02026200294494629,34.875,35.125,36.125,36.0,0.25081987633254665,-1.0
20089,1543528162.284424,0.02039813995361328,35.375,35.375,36.25,36.375,0.6849570078821388,-1.0
20090,1543528162.30451,0.020086050033569336,35.625,35.5,36.25,36.625,0.3755376769460945,-1.0
20091,1543528162.323956,0.01944589614868164,35.375,35.5,36.25,36.25,0.4511136804332381,-1.0
20092,1543528162.343973,0.020016908645629883,35.5,35.5,36.75,36.75,0.7183494989815189,-1.0
20093,1543528162.364072,0.020099163055419922,35.625,35.5,37.25,36.875,0.5307108281553301,-1.0
20094,1543528162.384648,0.020576000213623047,35.625,35.5,36.625,36.875,0.6253387875051942,-1.0
20095,1543528162.404134,0.019485950469970703,35.75,35.625,36.875,36.75,0.33129426568258286,-1.0
20096,1543528162.42418,0.020045995712280273,36.0,35.75,37.25,36.875,0.4845380847722604,-1.0
20097,1543528162.4442,0.020020008087158203,35.75,35.75,37.5,37.5,0.718349358877118,-1.0
20098,1543528162.464662,0.0204620361328125,35.875,35.75,37.875,37.875,0.5452466325540156,-1.0
20099,1543528162.484865,0.0202028751373291,35.625,35.875,37.75,38.0,0.33133551474032497,-1.0
20100,1543528162.504345,0.019479990005493164,36.25,36.0,37.25,37.375,1.023354773562682,-1.0
20101,1543528162.5244,0.020055055618286133,36.5,36.125,37.375,37.375,0.3068428522164262,-1.0
20102,1543528162.544408,0.020008087158203125,36.25,36.5,37.75,37.75,0.696258088468469,-1.0
20103,1543528162.564651,0.020242929458618164,36.125,36.375,38.375,38.125,0.7502731711476645,-1.0
20104,1543528162.585089,0.020437955856323242,36.75,36.5,39.0,39.25,1.4362860954819834,-1.0
20105,1543528162.604554,0.019464969635009766,36.625,36.5,38.875,39.25,0.17784777689102194,-1.0
20106,1543528162.6246,0.020045995712280273,36.625,36.5,39.0,39.125,0.17791059421911679,-1.0
20107,1543528162.644619,0.020019054412841797,36.875,37.0,38.625,38.375,1.0079810331873402,-1.0
20108,1543528162.665246,0.02062702178955078,37.0,37.25,38.875,38.375,0.37556736233628946,-1.0
20109,1543528162.685282,0.020035982131958008,37.125,37.375,38.5,38.75,0.5593762507542388,-1.0
20110,1543528162.704775,0.01949310302734375,37.375,37.5,39.25,38.875,0.8103272646180412,-1.0
20111,1543528162.724833,0.02005791664123535,37.0,37.0,39.375,39.125,0.6849471797404565,-1.0
20112,1543528162.744848,0.02001500129699707,37.25,36.875,38.875,39.375,0.6253203995702088,-1.0
20113,1543528162.765188,0.0203399658203125,37.375,37.0,39.375,39.75,0.6498375333970121,-1.0
20114,1543528162.785505,0.02031707763671875,37.125,37.75,39.625,39.75,0.8294050784553741,-1.0
20115,1543528162.805001,0.01949596405029297,38.25,37.75,40.25,39.625,1.293157286195988,-1.0
20116,1543528162.825042,0.02004098892211914,37.75,37.75,40.125,40.375,0.9102345512498893,-1.0
20117,1543528162.845066,0.02002406120300293,38.125,38.0,40.25,40.625,0.5307079830882604,-1.0
20118,1543528162.865299,0.0202329158782959,37.75,38.0,40.5,40.625,0.45114788540479006,-1.0
20119,1543528162.885722,0.020422935485839844,37.875,38.125,40.125,40.125,0.6498400821750764,-1.0
20120,1543528162.905197,0.01947498321533203,38.5,38.625,40.25,40.25,0.8199116864545501,-1.0
20121,1543528162.925246,0.020049095153808594,38.5,38.625,40.5,40.25,0.2508033010568329,-1.0
20122,1543528162.945264,0.02001810073852539,38.75,38.75,41.0,40.875,0.8480275498578047,-1.0
20123,1543528162.965764,0.02049994468688965,38.625,38.5,41.0,41.375,0.5731888693142567,-1.0
20124,1543528162.985939,0.02017498016357422,38.75,39.0,41.875,41.875,1.1321029703284688,-1.0
20125,1543528163.005423,0.01948404312133789,38.625,38.5,41.75,41.625,0.5866260353328605,-1.0
20126,1543528163.025475,0.020051956176757812,38.875,39.375,41.625,41.5,0.9272418257778028,-1.0
20127,1543528163.045489,0.020014047622680664,38.875,39.0,41.5,41.375,0.4150609154561549,-1.0
20128,1543528163.065599,0.020109891891479492,39.25,39.75,41.625,41.625,0.8841122196520139,-1.0
20129,1543528163.086154,0.02055501937866211,39.25,39.25,42.0,41.875,0.6734595065481941,-1.0
20130,1543528163.105629,0.01947498321533203,39.5,39.5,42.5,42.375,0.7908099907369353,-1.0
20131,1543528163.125691,0.020061969757080078,39.5,39.5,43.0,43.0,0.8006421342795632,-1.0
20132,1543528163.145711,0.020020008087158203,39.875,39.875,43.0,43.25,0.586643675909484,-1.0
20133,1543528163.165761,0.020050048828125,40.0,39.75,43.25,43.125,0.3313261314180581,-1.0
20134,1543528163.18637,0.020608901977539062,40.25,40.5,43.375,43.5,0.8841238822459002,-1.0
20135,1543528163.205872,0.01950216293334961,40.5,40.5,43.375,43.5,0.2507619573029188,-1.0
20136,1543528163.225929,0.020056962966918945,40.5,40.5,43.5,43.125,0.39579361991640744,-1.0
20137,1543528163.245948,0.020019054412841797,40.75,40.75,43.875,43.125,0.5157768548283674,-1.0
20138,1543528163.266319,0.020370960235595703,40.875,40.875,44.125,44.0,0.9272486720716446,-1.0
20139,1543528163.286604,0.02028489112854004,40.875,40.375,44.125,44.25,0.559384915971094,-1.0
20140,1543528163.306691,0.020087003707885742,41.375,40.875,43.375,44.125,1.03852228039527,-1.0
20141,1543528163.326141,0.01945018768310547,41.25,41.125,44.0,44.625,0.8480145725962246,-1.0
20142,1543528163.346149,0.020007848739624023,41.5,40.875,45.75,45.375,1.9365951112705624,-1.0
20143,1543528163.366206,0.020056962966918945,41.625,41.25,45.625,45.5,0.43347697075584496,-1.0
20144,1543528163.386816,0.02061009407043457,41.25,41.625,45.125,45.625,0.7397973249016313,-1.0
20145,1543528163.406304,0.019487857818603516,41.875,41.875,44.875,45.125,0.8752177077827911,-1.0
20146,1543528163.426379,0.020075082778930664,42.5,42.125,45.0,44.625,0.8480290996078701,-1.0
20147,1543528163.446387,0.020008087158203125,42.5,42.5,45.0,44.875,0.45113781490819793,-1.0
20148,1543528163.466491,0.020103931427001953,42.375,42.375,45.375,45.625,0.8571926138534708,-1.0
20149,1543528163.487053,0.020561933517456055,43.125,42.625,45.375,45.625,0.7908369002998603,-1.0
20150,1543528163.506537,0.01948404312133789,42.0,42.625,45.5,46.125,1.2375907198197877,-1.0
20151,1543528163.526585,0.020048141479492188,42.625,42.625,45.75,45.75,0.7708127179696371,-1.0
20152,1543528163.546612,0.02002692222595215,43.0,43.0,46.25,46.125,0.8199244343621558,-1.0
20153,1543528163.566663,0.020051002502441406,43.0,43.125,46.375,46.25,0.21743284775123703,-1.0
20154,1543528163.587271,0.020607948303222656,43.375,42.875,46.875,46.625,0.7708274759775324,-1.0
20155,1543528163.606758,0.01948714256286621,43.75,43.875,47.25,46.625,1.1320914295810092,-1.0
20156,1543528163.626814,0.020055770874023438,43.25,43.875,46.875,47.0,0.7291450865798299,-1.0
20157,1543528163.646831,0.020017147064208984,43.25,44.0,46.375,46.875,0.5307077233924421,-1.0
20158,1543528163.666941,0.020109891891479492,43.5,44.0,47.0,47.25,0.770814125683676,-1.0
20159,1543528163.687485,0.020544052124023438,43.875,43.875,47.125,48.125,0.9684638591980509,-1.0
20160,1543528163.706976,0.019490957260131836,44.375,44.5,48.0,48.0,1.1925837523728506,-1.0
20161,1543528163.727025,0.020049095153808594,44.625,44.5,48.0,47.875,0.28022718949879727,-1.0
20162,1543528163.747041,0.020015954971313477,44.75,44.5,48.0,47.875,0.1265924150637997,-1.0
20163,1543528163.767093,0.020051956176757812,44.875,44.625,48.125,47.625,0.3313262474398933,-1.0
20164,1543528163.787711,0.020617961883544922,44.875,44.875,47.625,47.625,0.559397372817116,-1.0
20165,1543528163.80719,0.019479036331176758,45.0,44.875,47.625,48.25,0.6376760384457025,-1.0
20166,1543528163.827585,0.02039504051208496,45.125,44.875,48.0,48.125,0.41508047019963373,-1.0
20167,1543528163.847274,0.019689083099365234,45.0,45.0,48.25,48.5,0.48452364067108455,-1.0
20168,1543528163.867364,0.02008986473083496,45.125,45.375,49.25,49.0,1.1860243518962077,-1.0
20169,1543528163.887928,0.02056407928466797,45.125,46.0,49.125,48.75,0.6849621202929905,-1.0
20170,1543528163.907394,0.019465923309326172,45.5,46.125,48.875,48.875,0.4845153538504541,-1.0
