RowId , Time  , TimeInterval  , FEF1:69  , FEF1:70  , FEF1:1633  , FEF1:3807  , FEF1:84  , FEF1:595  , FEF1:596  , FEF1:597  , FEF1:598  , FEF1:599  , FEF1:600  , FEF1:601  , FEF1:602  , FEF1:86  , FEF1:976  , FEF1:527  , FEF1:968  , FEF1:967  , FEF1:966  , FEF1:1237  , Difference  , Label 
4451,1543528221.191103,0.10004901885986328,3.0,3.0,0.0,3.0,43.1797,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.11402586765405723,-1.0
4452,1543528221.291088,0.09998512268066406,3.0,3.0,0.0,3.0,43.0625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.15405475922602463,-1.0
4453,1543528221.391124,0.1000359058380127,3.0,3.0,0.0,3.0,43.1016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.10740574954703604,-1.0
4454,1543528221.491203,0.10007905960083008,3.0,3.0,0.0,3.0,43.1094,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.10038256837137509,-1.0
4455,1543528221.59146,0.10025691986083984,3.0,3.0,0.0,3.0,43.2734,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.19221727709614306,-1.0
4456,1543528221.691044,0.09958410263061523,3.0,3.0,0.0,3.0,43.2188,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.11357203079882945,-1.0
4457,1543528221.792132,0.10108780860900879,3.0,3.0,0.0,3.0,43.1172,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.14333026959104633,-1.0
4458,1543528221.89103,0.09889817237854004,3.0,3.0,0.0,3.0,42.9453,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.1983311700329402,-1.0
4459,1543528221.992348,0.1013178825378418,3.0,3.0,0.0,3.0,42.8828,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.11906896455083052,-1.0
4460,1543528222.091061,0.09871315956115723,3.0,3.0,0.0,3.0,42.9453,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.11686454745701005,-1.0
