RowId , Time  , TimeInterval  , F00E:3216  , F00E:3217  , F00E:3218  , F00E:3219  , F00E:3220  , F00E:3221  , F00E:3222  , F00E:3223  , F00E:3224  , F00E:5714  , F00E:3225  , Difference  , Label 
7792,1543528255.879871,0.049034833908081055,358.6,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1.2010030394393159,-1.0
7793,1543528255.930831,0.05096006393432617,358.0,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.6021632956490057,-1.0
7794,1543528255.980829,0.04999804496765137,357.4,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.6020803351556225,-1.0
7795,1543528256.029908,0.049078941345214844,356.3,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1.1010947221901306,-1.0
7796,1543528256.079855,0.04994702339172363,356.3,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.04995456647928054,-1.0
7797,1543528256.129904,0.0500490665435791,355.7,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.6020838143271381,-1.0
7798,1543528256.17986,0.04995608329772949,355.4,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.30413092395272884,-1.0
7799,1543528256.229905,0.05004477500915527,355.6,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.206166164469233,-1.0
7800,1543528256.27985,0.04994511604309082,356.1,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.5024883327485996,-1.0
7801,1543528256.32991,0.05006003379821777,356.6,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.5024997713332506,-1.0
7802,1543528256.379852,0.0499420166015625,357.0,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.4031057168414649,-1.0
7803,1543528256.429895,0.05004286766052246,357.7,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.7017865051243211,-1.0
7804,1543528256.479846,0.04995107650756836,359.1,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1.4008908303183285,-1.0
7805,1543528256.529906,0.05006003379821777,361.2,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,2.100596586414304,-1.0
7806,1543528256.579845,0.04993891716003418,363.2,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,2.000623380378315,-1.0
7807,1543528256.629921,0.05007600784301758,365.0,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1.8006964278732245,-1.0
7808,1543528256.679846,0.04992508888244629,367.8,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,2.800445060571001,-1.0
7809,1543528256.729917,0.050071001052856445,370.2,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,2.4005222611833217,-1.0
7810,1543528256.77988,0.04996299743652344,373.1,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,2.9004303668210722,-1.0
7811,1543528256.830836,0.050956010818481445,375.4,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,2.3005646048554906,-1.0
7812,1543528256.879872,0.04903602600097656,377.9,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,2.500481597250351,-1.0
7813,1543528256.930839,0.05096697807312012,379.2,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1.30100013890462,-1.0
7814,1543528256.980837,0.04999804496765137,379.0,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.20615708411778047,-1.0
7815,1543528257.030861,0.050023794174194336,380.3,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,1.3009620980822745,-1.0
7816,1543528257.079906,0.04904508590698242,380.2,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.11138392308363061,-1.0
7817,1543528257.129909,0.0500030517578125,380.1,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.11180886764321965,-1.0
7818,1543528257.179859,0.04994988441467285,380.0,-1.0,3.0,3.0,3.0,3.0,31.0,3.0,31.0,7.0,31.0,0.11178100813559565,-1.0
