RowId , Time  , TimeInterval  , FCFD:5262  , FCFD:5263  , FCFD:5313  , FCFD:5314  , Difference  , Label 
2906,1543528100.629995,0.10000300407409668,-1.0,-1.0,137.0078,-1.0,0.30581469006759315,-1.0
2907,1543528100.729984,0.09998893737792969,-1.0,-1.0,145.0781,-1.0,8.070919394827078,-1.0
2908,1543528100.830982,0.1009979248046875,-1.0,-1.0,147.2578,-1.0,2.182038883446046,-1.0
2909,1543528100.930984,0.10000205039978027,-1.0,-1.0,145.3398,-1.0,1.9206054779287742,-1.0
2910,1543528101.03,0.09901595115661621,-1.0,-1.0,143.4375,-1.0,1.9048754345035674,-1.0
2911,1543528101.129994,0.09999394416809082,-1.0,-1.0,143.8398,-1.0,0.4145419584802233,-1.0
2912,1543528101.230989,0.10099506378173828,-1.0,-1.0,146.0664,-1.0,2.2288895363271632,-1.0
2913,1543528101.330992,0.10000300407409668,-1.0,-1.0,147.0977,-1.0,1.0361376718401567,-1.0
2914,1543528101.43099,0.09999799728393555,-1.0,-1.0,145.8594,-1.0,1.2423310708043527,-1.0
2915,1543528101.529988,0.0989980697631836,-1.0,-1.0,145.1797,-1.0,0.6868724100383409,-1.0
2916,1543528101.62998,0.09999203681945801,-1.0,-1.0,147.3477,-1.0,2.1703049083937125,-1.0
2917,1543528101.729984,0.10000395774841309,-1.0,-1.0,147.2891,-1.0,0.11590837634725291,-1.0
2918,1543528101.831001,0.10101699829101562,-1.0,-1.0,146.4766,-1.0,0.8187561970421159,-1.0
2919,1543528101.930977,0.0999760627746582,-1.0,-1.0,142.6992,-1.0,3.7787229399196063,-1.0
2920,1543528102.030014,0.09903693199157715,-1.0,-1.0,139.4492,-1.0,3.251508756848877,-1.0
2921,1543528102.131056,0.10104203224182129,-1.0,-1.0,143.5273,-1.0,4.079352046919538,-1.0
2922,1543528102.230013,0.09895682334899902,-1.0,-1.0,145.0469,-1.0,1.5228200684859134,-1.0
2923,1543528102.330007,0.09999418258666992,-1.0,-1.0,136.5664,-1.0,8.481089562235827,-1.0
2924,1543528102.43101,0.10100293159484863,-1.0,-1.0,124.918,-1.0,11.648837932161511,-1.0
2925,1543528102.530007,0.09899687767028809,-1.0,-1.0,129.5,-1.0,4.583069757928714,-1.0
2926,1543528102.630003,0.09999608993530273,-1.0,-1.0,139.957,-1.0,10.457478148025334,-1.0
2927,1543528102.730002,0.09999895095825195,-1.0,-1.0,139.918,-1.0,0.10733494398813156,-1.0
2928,1543528102.829996,0.09999418258666992,-1.0,-1.0,136.957,-1.0,2.9626879411395977,-1.0
2929,1543528102.930991,0.10099482536315918,-1.0,-1.0,137.6289,-1.0,0.6794487221535506,-1.0
2930,1543528103.03,0.09900903701782227,-1.0,-1.0,133.8281,-1.0,3.802089869107042,-1.0
